root - WARNING - step 0: train loss 6.840044, val loss 6.833322, lr 0.000000, mfu -100.00%
root - WARNING - step 250: train loss 2.528511, val loss 2.548559, lr 0.000025, mfu 3.49%
root - WARNING - step 500: train loss 1.881925, val loss 1.911583, lr 0.000050, mfu 3.32%
root - WARNING - step 750: train loss 1.593329, val loss 1.633011, lr 0.000075, mfu 3.12%
root - WARNING - step 1000: train loss 1.447599, val loss 1.504598, lr 0.000100, mfu 2.69%
root - WARNING - step 1250: train loss 1.348496, val loss 1.398607, lr 0.000100, mfu 3.44%
root - WARNING - step 1500: train loss 1.261412, val loss 1.332185, lr 0.000100, mfu 3.46%
root - WARNING - step 1750: train loss 1.208820, val loss 1.287924, lr 0.000100, mfu 3.45%
root - WARNING - step 2000: train loss 1.175506, val loss 1.257404, lr 0.000100, mfu 3.47%
root - WARNING - step 2250: train loss 1.156855, val loss 1.230482, lr 0.000100, mfu 3.47%
root - WARNING - step 2500: train loss 1.124305, val loss 1.211095, lr 0.000100, mfu 3.48%
root - WARNING - step 2750: train loss 1.110950, val loss 1.193661, lr 0.000100, mfu 3.48%
root - WARNING - step 3000: train loss 1.104672, val loss 1.175792, lr 0.000100, mfu 3.47%
root - WARNING - step 3250: train loss 1.084072, val loss 1.163568, lr 0.000099, mfu 3.47%
root - WARNING - step 3500: train loss 1.073964, val loss 1.154162, lr 0.000099, mfu 3.47%
root - WARNING - step 3750: train loss 1.061254, val loss 1.142311, lr 0.000099, mfu 3.47%
root - WARNING - step 4000: train loss 1.051373, val loss 1.127904, lr 0.000099, mfu 3.47%
root - WARNING - step 4250: train loss 1.043113, val loss 1.129595, lr 0.000099, mfu 3.47%
root - WARNING - step 4500: train loss 1.042748, val loss 1.121538, lr 0.000099, mfu 3.47%
root - WARNING - step 4750: train loss 1.034138, val loss 1.115963, lr 0.000099, mfu 3.49%
root - WARNING - step 5000: train loss 1.023896, val loss 1.110021, lr 0.000098, mfu 3.48%
root - WARNING - step 5250: train loss 1.018491, val loss 1.104231, lr 0.000098, mfu 3.48%
root - WARNING - step 5500: train loss 1.012751, val loss 1.098927, lr 0.000098, mfu 3.48%
root - WARNING - step 5750: train loss 1.012147, val loss 1.095843, lr 0.000098, mfu 3.48%
root - WARNING - step 6000: train loss 1.002998, val loss 1.085806, lr 0.000097, mfu 3.48%
root - WARNING - step 6250: train loss 0.993034, val loss 1.087424, lr 0.000097, mfu 3.47%
root - WARNING - step 6500: train loss 0.989036, val loss 1.080364, lr 0.000097, mfu 3.48%
root - WARNING - step 6750: train loss 0.989142, val loss 1.078322, lr 0.000097, mfu 3.48%
root - WARNING - step 7000: train loss 0.980399, val loss 1.082042, lr 0.000096, mfu 3.48%
root - WARNING - step 7250: train loss 0.977971, val loss 1.072153, lr 0.000096, mfu 3.48%
root - WARNING - step 7500: train loss 0.978149, val loss 1.069136, lr 0.000096, mfu 3.48%
root - WARNING - step 7750: train loss 0.968813, val loss 1.067967, lr 0.000095, mfu 3.49%
root - WARNING - step 8000: train loss 0.967110, val loss 1.059914, lr 0.000095, mfu 3.48%
root - WARNING - step 8250: train loss 0.961039, val loss 1.057827, lr 0.000095, mfu 3.48%
root - WARNING - step 8500: train loss 0.958766, val loss 1.057980, lr 0.000094, mfu 3.48%
root - WARNING - step 8750: train loss 0.964137, val loss 1.058080, lr 0.000094, mfu 3.48%
root - WARNING - step 9000: train loss 0.961855, val loss 1.061029, lr 0.000094, mfu 3.48%
root - WARNING - step 9250: train loss 0.957805, val loss 1.052644, lr 0.000093, mfu 3.48%
root - WARNING - step 9500: train loss 0.950306, val loss 1.051935, lr 0.000093, mfu 3.47%
root - WARNING - step 9750: train loss 0.947491, val loss 1.050133, lr 0.000092, mfu 3.48%
root - WARNING - step 10000: train loss 0.943290, val loss 1.049319, lr 0.000092, mfu 3.48%
root - WARNING - step 10250: train loss 0.941600, val loss 1.051663, lr 0.000092, mfu 3.47%
root - WARNING - step 10500: train loss 0.940102, val loss 1.041813, lr 0.000091, mfu 3.48%
root - WARNING - step 10750: train loss 0.934327, val loss 1.042878, lr 0.000091, mfu 3.48%
root - WARNING - step 11000: train loss 0.934281, val loss 1.040688, lr 0.000090, mfu 3.48%
root - WARNING - step 11250: train loss 0.932021, val loss 1.037095, lr 0.000090, mfu 3.49%
root - WARNING - step 11500: train loss 0.928232, val loss 1.042010, lr 0.000089, mfu 3.48%
root - WARNING - step 11750: train loss 0.928510, val loss 1.035635, lr 0.000089, mfu 3.48%
