root - WARNING - step 0: train loss 6.8767, val loss 6.8990, lr 0.0000, mfu -100.00%
root - WARNING - step 250: train loss 1.5804, val loss 1.6139, lr 0.0010, mfu 3.06%
root - WARNING - step 500: train loss 1.3178, val loss 1.3778, lr 0.0010, mfu 3.04%
root - WARNING - step 750: train loss 1.1974, val loss 1.2650, lr 0.0010, mfu 3.01%
root - WARNING - step 1000: train loss 1.1315, val loss 1.2045, lr 0.0010, mfu 2.99%
root - WARNING - step 1250: train loss 1.0927, val loss 1.1789, lr 0.0010, mfu 2.84%
root - WARNING - step 1500: train loss 1.0656, val loss 1.1559, lr 0.0010, mfu 2.88%
root - WARNING - step 1750: train loss 1.0503, val loss 1.1439, lr 0.0010, mfu 2.86%
root - WARNING - step 2000: train loss 1.0510, val loss 1.1393, lr 0.0010, mfu 2.80%
root - WARNING - step 2250: train loss 1.0381, val loss 1.1218, lr 0.0010, mfu 2.76%
root - WARNING - step 2500: train loss 1.0224, val loss 1.1108, lr 0.0010, mfu 2.76%
root - WARNING - step 2750: train loss 1.0075, val loss 1.1016, lr 0.0010, mfu 2.72%
root - WARNING - step 3000: train loss 1.0088, val loss 1.1035, lr 0.0010, mfu 2.64%
root - WARNING - step 3250: train loss 1.0041, val loss 1.1017, lr 0.0010, mfu 2.64%
root - WARNING - step 3500: train loss 0.9961, val loss 1.0900, lr 0.0010, mfu 2.55%
root - WARNING - step 3750: train loss 0.9978, val loss 1.0898, lr 0.0010, mfu 2.57%
root - WARNING - step 4000: train loss 0.9891, val loss 1.0835, lr 0.0010, mfu 2.39%
root - WARNING - step 4250: train loss 0.9789, val loss 1.0897, lr 0.0010, mfu 2.60%
root - WARNING - step 4500: train loss 0.9753, val loss 1.0805, lr 0.0010, mfu 2.67%
root - WARNING - step 4750: train loss 0.9759, val loss 1.0845, lr 0.0010, mfu 2.65%
root - WARNING - step 5000: train loss 0.9777, val loss 1.0777, lr 0.0010, mfu 2.61%
root - WARNING - step 5250: train loss 0.9652, val loss 1.0801, lr 0.0010, mfu 2.39%
root - WARNING - step 5500: train loss 0.9637, val loss 1.0699, lr 0.0010, mfu 2.65%
root - WARNING - step 5750: train loss 0.9614, val loss 1.0728, lr 0.0010, mfu 2.68%
root - WARNING - step 6000: train loss 0.9586, val loss 1.0709, lr 0.0010, mfu 2.77%
root - WARNING - step 6250: train loss 0.9572, val loss 1.0708, lr 0.0010, mfu 2.59%
root - WARNING - step 6500: train loss 0.9552, val loss 1.0615, lr 0.0010, mfu 2.63%
root - WARNING - step 6750: train loss 0.9541, val loss 1.0673, lr 0.0010, mfu 2.64%
root - WARNING - step 7000: train loss 0.9508, val loss 1.0668, lr 0.0010, mfu 2.64%
root - WARNING - step 7250: train loss 0.9474, val loss 1.0707, lr 0.0010, mfu 2.64%
root - WARNING - step 7500: train loss 0.9488, val loss 1.0639, lr 0.0010, mfu 2.64%
root - WARNING - step 7750: train loss 0.9494, val loss 1.0639, lr 0.0010, mfu 2.38%
root - WARNING - step 8000: train loss 0.9450, val loss 1.0581, lr 0.0010, mfu 2.38%
root - WARNING - step 8250: train loss 0.9438, val loss 1.0656, lr 0.0010, mfu 2.59%
root - WARNING - step 8500: train loss 0.9391, val loss 1.0531, lr 0.0010, mfu 2.38%
root - WARNING - step 8750: train loss 0.9294, val loss 1.0565, lr 0.0010, mfu 2.38%
root - WARNING - step 9000: train loss 0.9394, val loss 1.0538, lr 0.0010, mfu 2.38%
root - WARNING - step 9250: train loss 0.9403, val loss 1.0490, lr 0.0010, mfu 2.38%
root - WARNING - step 9500: train loss 0.9305, val loss 1.0541, lr 0.0010, mfu 0.69%
root - WARNING - step 9750: train loss 0.9321, val loss 1.0538, lr 0.0010, mfu 2.47%
root - WARNING - step 10000: train loss 0.9379, val loss 1.0554, lr 0.0010, mfu 2.59%
root - WARNING - step 10250: train loss 0.9317, val loss 1.0503, lr 0.0010, mfu 2.39%
root - WARNING - step 10500: train loss 0.9349, val loss 1.0481, lr 0.0010, mfu 2.37%
root - WARNING - step 10750: train loss 0.9254, val loss 1.0546, lr 0.0010, mfu 2.38%
root - WARNING - step 11000: train loss 0.9227, val loss 1.0491, lr 0.0010, mfu 2.38%
root - WARNING - step 11250: train loss 0.9242, val loss 1.0528, lr 0.0010, mfu 2.38%
root - WARNING - step 11500: train loss 0.9261, val loss 1.0570, lr 0.0010, mfu 2.38%
root - WARNING - step 11750: train loss 0.9283, val loss 1.0503, lr 0.0010, mfu 2.37%
root - WARNING - step 12000: train loss 0.9223, val loss 1.0440, lr 0.0010, mfu 2.37%
root - WARNING - step 12250: train loss 0.9172, val loss 1.0483, lr 0.0010, mfu 0.69%
root - WARNING - step 12500: train loss 0.9194, val loss 1.0492, lr 0.0010, mfu 0.68%
root - WARNING - step 12750: train loss 0.9211, val loss 1.0464, lr 0.0010, mfu 0.68%
root - WARNING - step 13000: train loss 0.9204, val loss 1.0458, lr 0.0010, mfu 0.68%
